league,team_id,week_start,index_score_sum,weighted_score_sum,games
mlb,mlb_ANA,2024-07-09,2,2,6
mlb,mlb_ANA,2024-07-16,0,0,4
mlb,mlb_ANA,2024-07-23,0,0,6
mlb,mlb_ANA,2024-07-30,0,0,6
mlb,mlb_ANA,2024-08-06,-2,-2,6
mlb,mlb_ANA,2024-08-13,-4,-4,6
mlb,mlb_ANA,2024-08-20,-4,-4,6
mlb,mlb_ANA,2024-08-27,0,0,6
mlb,mlb_ANA,2024-09-03,-1,-1,7
mlb,mlb_ANA,2024-09-10,-6,-6,6
mlb,mlb_ANA,2024-09-17,0,0,6
mlb,mlb_ANA,2024-09-24,-6,-6,6
mlb,mlb_ARI,2020-07-21,-2,-2,4
mlb,mlb_ARI,2020-07-28,-2,-2,6
mlb,mlb_ARI,2020-08-04,1,1,7
mlb,mlb_ARI,2020-08-11,4,4,6
mlb,mlb_ARI,2020-08-18,-5,-5,7
mlb,mlb_ARI,2020-08-25,-3,-3,5
mlb,mlb_ARI,2020-09-01,-5,-5,7
mlb,mlb_ARI,2020-09-08,-2,-2,6
mlb,mlb_ARI,2020-09-15,0,0,6
mlb,mlb_ARI,2020-09-22,3,3,5
mlb,mlb_ARI,2021-03-30,-2,-2,4
mlb,mlb_ARI,2021-04-06,-1,-1,7
mlb,mlb_ARI,2021-04-13,-1,-1,5
mlb,mlb_ARI,2021-04-20,3,3,5
mlb,mlb_ARI,2021-04-27,2,2,6
mlb,mlb_ARI,2021-05-04,-5,-5,7
mlb,mlb_ARI,2021-05-11,-3,-3,7
mlb,mlb_ARI,2021-05-18,-6,-6,6
mlb,mlb_ARI,2021-05-25,-5,-5,7
mlb,mlb_ARI,2021-06-01,-4,-4,6
mlb,mlb_ARI,2021-06-08,-6,-6,6
mlb,mlb_ARI,2021-06-15,-5,-5,7
mlb,mlb_ARI,2021-06-22,-4,-4,6
mlb,mlb_ARI,2021-06-29,-4,-4,6
mlb,mlb_ARI,2021-07-06,0,0,6
mlb,mlb_ARI,2021-07-13,0,0,4
mlb,mlb_ARI,2021-07-20,1,1,5
mlb,mlb_ARI,2021-07-27,-2,-2,6
mlb,mlb_ARI,2021-08-03,-2,-2,6
mlb,mlb_ARI,2021-08-10,0,0,6
mlb,mlb_ARI,2021-08-17,1,1,7
mlb,mlb_ARI,2021-08-24,-3,-3,7
mlb,mlb_ARI,2021-08-31,-3,-3,5
mlb,mlb_ARI,2021-09-07,-2,-2,6
mlb,mlb_ARI,2021-09-14,-4,-4,6
mlb,mlb_ARI,2021-09-21,-2,-2,6
mlb,mlb_ARI,2021-09-28,-2,-2,6
mlb,mlb_ARI,2022-04-05,-2,-2,4
mlb,mlb_ARI,2022-04-12,-1,-1,5
mlb,mlb_ARI,2022-04-19,-1,-1,7
mlb,mlb_ARI,2022-04-26,3,3,7
mlb,mlb_ARI,2022-05-03,4,4,6
mlb,mlb_ARI,2022-05-10,-2,-2,6
mlb,mlb_ARI,2022-05-17,1,1,7
mlb,mlb_ARI,2022-05-24,-2,-2,6
mlb,mlb_ARI,2022-05-31,-2,-2,6
mlb,mlb_ARI,2022-06-07,-1,-1,7
mlb,mlb_ARI,2022-06-14,0,0,6
mlb,mlb_ARI,2022-06-21,-3,-3,5
mlb,mlb_ARI,2022-06-28,0,0,6
mlb,mlb_ARI,2022-07-05,-1,-1,7
mlb,mlb_ARI,2022-07-12,-3,-3,5
mlb,mlb_ARI,2022-07-19,2,2,4
mlb,mlb_ARI,2022-07-26,-2,-2,6
mlb,mlb_ARI,2022-08-02,2,2,6
mlb,mlb_ARI,2022-08-09,1,1,7
mlb,mlb_ARI,2022-08-16,-2,-2,6
mlb,mlb_ARI,2022-08-23,4,4,6
mlb,mlb_ARI,2022-08-30,3,3,7
mlb,mlb_ARI,2022-09-06,-4,-4,6
mlb,mlb_ARI,2022-09-13,-3,-3,7
mlb,mlb_ARI,2022-09-20,-2,-2,6
mlb,mlb_ARI,2022-09-27,-2,-2,6
mlb,mlb_ARI,2022-10-04,0,0,2
mlb,mlb_ARI,2023-03-28,-1,-1,5
mlb,mlb_ARI,2023-04-04,4,4,6
mlb,mlb_ARI,2023-04-11,0,0,6
mlb,mlb_ARI,2023-04-18,-1,-1,7
mlb,mlb_ARI,2023-04-25,1,1,5
mlb,mlb_ARI,2023-05-02,2,2,6
mlb,mlb_ARI,2023-05-09,1,1,7
mlb,mlb_ARI,2023-05-16,2,2,6
mlb,mlb_ARI,2023-05-23,0,0,6
mlb,mlb_ARI,2023-05-30,2,2,6
mlb,mlb_ARI,2023-06-06,6,6,6
mlb,mlb_ARI,2023-06-13,-1,-1,7
mlb,mlb_ARI,2023-06-20,0,0,6
mlb,mlb_ARI,2023-06-27,0,0,6
mlb,mlb_ARI,2023-07-04,-2,-2,6
mlb,mlb_ARI,2023-07-11,-3,-3,3
mlb,mlb_ARI,2023-07-18,-3,-3,7
mlb,mlb_ARI,2023-07-25,0,0,6
mlb,mlb_ARI,2023-08-01,-6,-6,6
mlb,mlb_ARI,2023-08-08,-2,-2,6
mlb,mlb_ARI,2023-08-15,4,4,6
mlb,mlb_ARI,2023-08-22,2,2,6
mlb,mlb_ARI,2023-08-29,-2,-2,6
mlb,mlb_ARI,2023-09-05,3,3,7
mlb,mlb_ARI,2023-09-12,0,0,6
mlb,mlb_ARI,2023-09-19,1,1,5
mlb,mlb_ARI,2023-09-26,-2,-2,6
mlb,mlb_ARI,2024-03-26,1,1,5
mlb,mlb_ARI,2024-04-02,-4,-4,6
mlb,mlb_ARI,2024-04-09,2,2,6
mlb,mlb_ARI,2024-04-16,-1,-1,7
mlb,mlb_ARI,2024-04-23,-2,-2,6
mlb,mlb_ARI,2024-04-30,-1,-1,5
mlb,mlb_ARI,2024-05-07,3,3,7
mlb,mlb_ARI,2024-05-14,-2,-2,6
mlb,mlb_ARI,2024-05-21,1,1,5
mlb,mlb_ARI,2024-05-28,-1,-1,7
mlb,mlb_ARI,2024-06-04,0,0,6
mlb,mlb_ARI,2024-06-11,2,2,6
mlb,mlb_ARI,2024-06-18,0,0,6
mlb,mlb_ARI,2024-06-25,0,0,6
mlb,mlb_ARI,2024-07-02,1,1,7
mlb,mlb_ARI,2024-07-09,2,2,6
mlb,mlb_ARI,2024-07-16,0,0,4
mlb,mlb_ARI,2024-07-23,4,4,6
mlb,mlb_ARI,2024-07-30,4,4,6
mlb,mlb_ARI,2024-08-06,4,4,6
mlb,mlb_ARI,2024-08-13,0,0,6
mlb,mlb_ARI,2024-08-20,5,5,5
mlb,mlb_ARI,2024-08-27,-3,-3,7
mlb,mlb_ARI,2024-09-03,0,0,6
mlb,mlb_ARI,2024-09-10,0,0,6
mlb,mlb_ARI,2024-09-17,1,1,7
mlb,mlb_ARI,2024-09-24,-1,-1,5
mlb,mlb_ATL,2020-07-21,0,0,4
mlb,mlb_ATL,2020-07-28,3,3,7
mlb,mlb_ATL,2020-08-04,0,0,6
mlb,mlb_ATL,2020-08-11,0,0,6
mlb,mlb_ATL,2020-08-18,0,0,4
mlb,mlb_ATL,2020-08-25,1,1,5
mlb,mlb_ATL,2020-09-01,2,2,6
mlb,mlb_ATL,2020-09-08,1,1,7
mlb,mlb_ATL,2020-09-15,2,2,6
mlb,mlb_ATL,2020-09-22,0,0,6
mlb,mlb_ATL,2021-03-30,-3,-3,3
mlb,mlb_ATL,2021-04-06,0,0,6
mlb,mlb_ATL,2021-04-13,0,0,6
mlb,mlb_ATL,2021-04-20,1,1,5
mlb,mlb_ATL,2021-04-27,-2,-2,6
mlb,mlb_ATL,2021-05-04,4,4,6
mlb,mlb_ATL,2021-05-11,-3,-3,7
mlb,mlb_ATL,2021-05-18,2,2,6
mlb,mlb_ATL,2021-05-25,0,0,4
mlb,mlb_ATL,2021-06-01,0,0,6
mlb,mlb_ATL,2021-06-08,-2,-2,6
mlb,mlb_ATL,2021-06-15,-2,-2,6
mlb,mlb_ATL,2021-06-22,0,0,6
mlb,mlb_ATL,2021-06-29,1,1,7
mlb,mlb_ATL,2021-07-06,1,1,5
mlb,mlb_ATL,2021-07-13,-1,-1,3
mlb,mlb_ATL,2021-07-20,1,1,7
mlb,mlb_ATL,2021-07-27,0,0,6
