city_id,month_start,index_score_sum,weighted_score_sum,games
anaheim,2018-03-01,4,4,14
anaheim,2018-04-01,0,-8,8
anaheim,2018-10-01,-3,-3,13
anaheim,2018-11-01,1,1,15
anaheim,2018-12-01,-1,-1,13
anaheim,2019-01-01,-6,-6,10
anaheim,2019-02-01,-7,-7,13
anaheim,2019-03-01,2,2,16
anaheim,2019-04-01,2,2,2
anaheim,2019-10-01,2,2,14
anaheim,2019-11-01,-7,-7,13
anaheim,2019-12-01,-3,-3,13
anaheim,2020-01-01,-3,-3,11
anaheim,2020-02-01,-1,-1,13
anaheim,2020-03-01,-1,-1,7
anaheim,2021-01-01,-4,-4,10
anaheim,2021-02-01,-5,-5,11
anaheim,2021-03-01,-6,-6,16
anaheim,2021-04-01,-6,-6,14
anaheim,2021-05-01,-1,-1,5
anaheim,2021-10-01,-4,-4,10
anaheim,2021-11-01,5,5,13
anaheim,2021-12-01,-1,-1,11
anaheim,2022-01-01,-2,-2,14
anaheim,2022-02-01,-3,-3,7
anaheim,2022-03-01,-10,-10,14
anaheim,2022-04-01,-5,-5,13
anaheim,2022-10-01,-5,-5,9
anaheim,2022-11-01,-6,-6,14
anaheim,2022-12-01,-6,-6,14
anaheim,2023-01-01,-1,-1,13
anaheim,2023-02-01,-3,-3,11
anaheim,2023-03-01,-8,-8,14
anaheim,2023-04-01,-7,-7,7
anaheim,2023-10-01,1,1,9
anaheim,2023-11-01,-6,-6,14
anaheim,2023-12-01,-5,-5,13
anaheim,2024-01-01,-4,-4,14
anaheim,2024-02-01,-3,-3,9
anaheim,2024-03-01,-10,-10,16
anaheim,2024-04-01,-1,-1,7
anaheim,2024-10-01,-2,-2,10
anaheim,2024-11-01,-2,-2,12
anaheim,2024-12-01,-2,-2,14
anaheim,2025-01-01,-3,-3,15
anaheim,2025-02-01,3,3,7
anaheim,2025-03-01,-3,-3,15
anaheim,2025-04-01,-3,-3,9
anaheim-ca,2020-07-01,-4,-4,8
anaheim-ca,2020-08-01,-9,-9,27
anaheim-ca,2020-09-01,3,3,23
anaheim-ca,2021-04-01,0,0,24
anaheim-ca,2021-05-01,-5,-5,29
anaheim-ca,2021-06-01,4,4,26
anaheim-ca,2021-07-01,2,2,24
anaheim-ca,2021-08-01,0,0,28
anaheim-ca,2021-09-01,-8,-8,26
anaheim-ca,2021-10-01,1,1,3
anaheim-ca,2022-04-01,6,6,22
anaheim-ca,2022-05-01,-3,-3,27
anaheim-ca,2022-06-01,-8,-8,26
anaheim-ca,2022-07-01,-12,-12,24
anaheim-ca,2022-08-01,-2,-2,28
anaheim-ca,2022-09-01,2,2,26
anaheim-ca,2022-10-01,-1,-1,5
anaheim-ca,2023-03-01,-1,-1,1
anaheim-ca,2023-04-01,2,2,28
anaheim-ca,2023-05-01,2,2,28
anaheim-ca,2023-06-01,1,1,27
anaheim-ca,2023-07-01,0,0,22
anaheim-ca,2023-08-01,-9,-9,25
anaheim-ca,2023-09-01,-11,-11,27
anaheim-ca,2023-10-01,1,1,1
anaheim-ca,2024-03-01,-1,-1,3
anaheim-ca,2024-04-01,-7,-7,27
anaheim-ca,2024-05-01,-7,-7,27
anaheim-ca,2024-06-01,4,4,26
anaheim-ca,2024-07-01,-3,-3,25
anaheim-ca,2024-08-01,-11,-11,27
anaheim-ca,2024-09-01,-12,-12,26
arizona,2018-03-01,2,2,16
arizona,2018-04-01,-1,-1,3
arizona,2018-10-01,1,1,11
arizona,2018-11-01,-3,-3,13
arizona,2018-12-01,-3,-3,15
arizona,2019-01-01,1,1,11
arizona,2019-02-01,2,2,14
arizona,2019-03-01,-1,-1,15
arizona,2019-04-01,-1,-1,3
arizona,2019-10-01,2,2,12
arizona,2019-11-01,0,0,16
arizona,2019-12-01,0,0,14
arizona,2020-01-01,-3,-3,11
arizona,2020-02-01,-2,-2,14
arizona,2020-03-01,-1,-1,3
arizona,2020-08-01,-1,-3,9
arizona,2021-01-01,-2,-2,8
arizona,2021-02-01,-1,-1,13
arizona,2021-03-01,-1,-1,15
arizona,2021-04-01,-3,-3,15
arizona,2021-05-01,-1,-1,5
arizona,2021-10-01,-9,-9,9
arizona,2021-11-01,-4,-4,14
arizona,2021-12-01,-5,-5,7
arizona,2022-01-01,-5,-5,13
arizona,2022-02-01,-2,-2,10
arizona,2022-03-01,0,0,14
arizona,2022-04-01,-7,-7,15
arizona,2022-10-01,-4,-4,8
arizona,2022-11-01,-2,-2,12
arizona,2022-12-01,-3,-3,15
arizona,2023-01-01,-9,-9,15
arizona,2023-02-01,0,0,10
arizona,2023-03-01,-4,-4,16
arizona,2023-04-01,-4,-4,6
arizona,2023-10-01,0,0,8
arizona,2023-11-01,0,0,14
arizona,2023-12-01,3,3,13
arizona,2024-01-01,-5,-5,13
arizona,2024-02-01,-11,-11,11
arizona,2024-03-01,1,1,15
arizona,2024-04-01,2,2,8
arlington-tx,2020-07-01,-2,-2,6
arlington-tx,2020-08-01,-7,-7,27
arlington-tx,2020-09-01,-6,-6,26
arlington-tx,2021-04-01,-5,-5,27
arlington-tx,2021-05-01,-6,-6,28
arlington-tx,2021-06-01,-7,-7,25
arlington-tx,2021-07-01,-11,-11,23
arlington-tx,2021-08-01,-8,-8,28
arlington-tx,2021-09-01,-3,-3,27
arlington-tx,2021-10-01,-1,-1,3
arlington-tx,2022-04-01,-7,-7,21
arlington-tx,2022-05-01,6,6,26
arlington-tx,2022-06-01,-3,-3,25
arlington-tx,2022-07-01,-7,-7,27
arlington-tx,2022-08-01,-4,-4,28
arlington-tx,2022-09-01,-10,-10,26
arlington-tx,2022-10-01,-3,-3,5
arlington-tx,2023-03-01,1,1,1
arlington-tx,2023-04-01,5,5,27
arlington-tx,2023-05-01,9,9,27
arlington-tx,2023-06-01,1,1,27
arlington-tx,2023-07-01,-2,-2,24
arlington-tx,2023-08-01,3,3,27
arlington-tx,2023-09-01,2,2,28
arlington-tx,2023-10-01,-1,-1,1
arlington-tx,2024-03-01,1,1,3
arlington-tx,2024-04-01,1,1,27
arlington-tx,2024-05-01,-6,-6,26
arlington-tx,2024-06-01,-5,-5,27
arlington-tx,2024-07-01,3,3,25
arlington-tx,2024-08-01,-4,-4,26
arlington-tx,2024-09-01,2,2,26
atlanta,2010-10-01,0,0,6
atlanta,2010-11-01,0,0,30
atlanta,2010-12-01,0,0,34
atlanta,2011-01-01,0,0,26
atlanta,2011-02-01,0,0,24
atlanta,2011-03-01,0,0,30
atlanta,2011-04-01,0,0,14
atlanta,2011-12-01,0,0,8
atlanta,2012-01-01,0,0,36
atlanta,2012-02-01,0,0,26
atlanta,2012-03-01,0,0,38
atlanta,2012-04-01,0,0,24
atlanta,2012-11-01,0,0,28
atlanta,2012-12-01,0,0,30
atlanta,2013-01-01,0,0,32
atlanta,2013-02-01,0,0,22
atlanta,2013-03-01,0,0,36
atlanta,2013-04-01,0,0,16
atlanta,2013-10-01,0,0,2
atlanta,2013-11-01,0,0,34
atlanta,2013-12-01,0,0,28
atlanta,2014-01-01,0,0,26
atlanta,2014-02-01,0,0,24
atlanta,2014-03-01,0,0,32
atlanta,2014-04-01,0,0,18
atlanta,2014-10-01,0,0,2
atlanta,2014-11-01,0,0,28
atlanta,2014-12-01,0,0,32
atlanta,2015-01-01,0,0,34
atlanta,2015-02-01,0,0,22
atlanta,2015-03-01,0,0,32
atlanta,2015-04-01,0,0,14
atlanta,2015-10-01,0,0,6
atlanta,2015-11-01,0,0,34
atlanta,2015-12-01,0,0,28
atlanta,2016-01-01,0,0,30
atlanta,2016-02-01,0,0,22
atlanta,2016-03-01,0,0,32
atlanta,2016-04-01,0,0,12
atlanta,2016-10-01,0,0,6
atlanta,2016-11-01,0,0,32
atlanta,2016-12-01,0,0,28
atlanta,2017-01-01,0,0,30
atlanta,2017-02-01,0,0,22
atlanta,2017-03-01,0,0,32
atlanta,2017-04-01,0,0,14
atlanta,2017-10-01,0,0,14
atlanta,2017-11-01,0,0,28
atlanta,2017-12-01,0,0,30
atlanta,2018-01-01,0,0,30
atlanta,2018-02-01,0,0,22
atlanta,2018-03-01,0,0,28
atlanta,2018-04-01,0,0,12
atlanta,2018-10-01,0,0,14
atlanta,2018-11-01,0,0,32
atlanta,2018-12-01,0,0,26
atlanta,2019-01-01,0,0,28
atlanta,2019-02-01,0,0,24
atlanta,2019-03-01,0,0,30
atlanta,2019-04-01,0,0,10
atlanta,2019-10-01,0,0,10
atlanta,2019-11-01,0,0,30
atlanta,2019-12-01,0,0,28
atlanta,2020-01-01,0,0,30
atlanta,2020-02-01,0,0,26
atlanta,2020-03-01,0,0,10
atlanta,2020-12-01,0,0,8
atlanta,2021-01-01,0,0,30
atlanta,2021-02-01,0,0,30
atlanta,2021-03-01,0,0,26
atlanta,2021-04-01,0,0,34
atlanta,2021-05-01,0,0,16
atlanta,2021-10-01,0,0,12
atlanta,2021-11-01,0,0,30
atlanta,2021-12-01,0,0,28
atlanta,2022-01-01,0,0,30
atlanta,2022-02-01,0,0,20
atlanta,2022-03-01,0,0,34
atlanta,2022-04-01,0,0,10
atlanta,2022-10-01,0,0,14
atlanta,2022-11-01,0,0,30
atlanta,2022-12-01,0,0,28
atlanta,2023-01-01,0,0,30
atlanta,2023-02-01,0,0,22
atlanta,2023-03-01,0,0,30
atlanta,2023-04-01,0,0,10
atlanta,2023-10-01,0,0,8
atlanta,2023-11-01,0,0,28
atlanta,2023-12-01,0,0,28
atlanta,2024-01-01,0,0,30
atlanta,2024-02-01,0,0,24
atlanta,2024-03-01,0,0,30
atlanta,2024-04-01,0,0,16
atlanta-ga,2020-07-01,2,2,8
atlanta-ga,2020-08-01,2,2,24
atlanta-ga,2020-09-01,5,5,25
atlanta-ga,2021-04-01,-2,-2,24
atlanta-ga,2021-05-01,1,1,25
atlanta-ga,2021-06-01,-4,-4,26
atlanta-ga,2021-07-01,3,3,25
atlanta-ga,2021-08-01,10,10,26
atlanta-ga,2021-09-01,6,6,26
atlanta-ga,2021-10-01,1,1,3
atlanta-ga,2022-04-01,-2,-2,22
atlanta-ga,2022-05-01,-1,-1,27
atlanta-ga,2022-06-01,15,15,27
atlanta-ga,2022-07-01,10,10,26
atlanta-ga,2022-08-01,8,8,26
atlanta-ga,2022-09-01,10,10,26
atlanta-ga,2022-10-01,1,1,5
atlanta-ga,2023-03-01,1,1,1
atlanta-ga,2023-04-01,8,8,26
atlanta-ga,2023-05-01,2,2,28
atlanta-ga,2023-06-01,16,16,24
atlanta-ga,2023-07-01,3,3,23
atlanta-ga,2023-08-01,12,12,28
atlanta-ga,2023-09-01,4,4,26
atlanta-ga,2023-10-01,-1,-1,1
atlanta-ga,2024-03-01,1,1,3
atlanta-ga,2024-04-01,9,9,25
atlanta-ga,2024-05-01,-2,-2,26
atlanta-ga,2024-06-01,2,2,26
atlanta-ga,2024-07-01,0,0,24
atlanta-ga,2024-08-01,3,3,29
atlanta-ga,2024-09-01,3,3,25
baltimore-md,2020-07-01,0,0,6
baltimore-md,2020-08-01,-3,-3,27
baltimore-md,2020-09-01,-5,-5,23
baltimore-md,2021-04-01,-2,-2,24
baltimore-md,2021-05-01,-17,-17,27
baltimore-md,2021-06-01,-7,-7,27
baltimore-md,2021-07-01,-2,-2,22
baltimore-md,2021-08-01,-20,-20,28
baltimore-md,2021-09-01,-5,-5,27
baltimore-md,2021-10-01,-3,-3,3
baltimore-md,2022-04-01,-7,-7,21
baltimore-md,2022-05-01,-4,-4,28
baltimore-md,2022-06-01,2,2,26
baltimore-md,2022-07-01,7,7,25
baltimore-md,2022-08-01,7,7,27
baltimore-md,2022-09-01,-1,-1,27
baltimore-md,2022-10-01,0,0,4
baltimore-md,2023-03-01,1,1,1
baltimore-md,2023-04-01,8,8,26
baltimore-md,2023-05-01,4,4,28
baltimore-md,2023-06-01,2,2,24
baltimore-md,2023-07-01,8,8,26
baltimore-md,2023-08-01,9,9,27
baltimore-md,2023-09-01,8,8,28
baltimore-md,2023-10-01,-1,-1,1
baltimore-md,2024-03-01,1,1,3
baltimore-md,2024-04-01,8,8,26
baltimore-md,2024-05-01,8,8,26
baltimore-md,2024-06-01,5,5,29
baltimore-md,2024-07-01,0,0,24
baltimore-md,2024-08-01,-2,-2,28
baltimore-md,2024-09-01,1,1,25
bos,2025-08-01,2,2,2
boston,2010-10-01,0,0,6
boston,2010-11-01,0,0,26
boston,2010-12-01,0,0,26
boston,2011-01-01,0,0,32
boston,2011-02-01,0,0,22
boston,2011-03-01,0,0,32
boston,2011-04-01,0,0,14
boston,2011-12-01,0,0,8
boston,2012-01-01,0,0,32
boston,2012-02-01,0,0,28
boston,2012-03-01,0,0,32
boston,2012-04-01,0,0,26
boston,2012-10-01,0,0,2
boston,2012-11-01,0,0,26
boston,2012-12-01,0,0,26
boston,2013-01-01,0,0,26
boston,2013-02-01,0,0,24
boston,2013-03-01,0,0,28
boston,2013-04-01,0,0,14
boston,2013-10-01,0,0,2
boston,2013-11-01,0,0,34
boston,2013-12-01,0,0,20
boston,2014-01-01,0,0,32
boston,2014-02-01,0,0,20
boston,2014-03-01,0,0,26
boston,2014-04-01,0,0,14
boston,2014-11-01,0,0,26
boston,2014-12-01,0,0,26
boston,2015-01-01,0,0,28
boston,2015-02-01,0,0,20
boston,2015-03-01,0,0,34
boston,2015-04-01,0,0,16
boston,2015-10-01,0,0,4
boston,2015-11-01,0,0,24
boston,2015-12-01,0,0,26
boston,2016-01-01,0,0,30
boston,2016-02-01,0,0,24
boston,2016-03-01,0,0,28
boston,2016-04-01,0,0,12
boston,2016-10-01,0,0,4
boston,2016-11-01,0,0,28
boston,2016-12-01,0,0,32
boston,2017-01-01,0,0,26
boston,2017-02-01,0,0,22
boston,2017-03-01,0,0,30
boston,2017-04-01,0,0,8
boston,2017-10-01,0,0,14
boston,2017-11-01,0,0,26
boston,2017-12-01,0,0,32
boston,2018-01-01,0,0,22
boston,2018-02-01,0,0,20
boston,2018-03-01,5,5,41
boston,2018-04-01,-2,0,22
boston,2018-05-01,-3,-9,3
boston,2018-10-01,2,2,26
boston,2018-11-01,1,1,41
boston,2018-12-01,0,0,40
boston,2019-01-01,0,0,34
boston,2019-02-01,9,9,35
boston,2019-03-01,3,3,41
boston,2019-04-01,1,1,23
boston,2019-05-01,7,21,9
boston,2019-06-01,-1,-3,5
boston,2019-10-01,6,6,20
boston,2019-11-01,4,4,38
boston,2019-12-01,-3,-3,41
boston,2020-01-01,1,1,41
boston,2020-02-01,8,8,34
boston,2020-03-01,2,2,12
boston,2020-07-01,0,0,2
boston,2020-08-01,-3,-9,25
boston,2020-12-01,0,0,8
boston,2021-01-01,2,2,34
boston,2021-02-01,3,3,37
boston,2021-03-01,-1,-1,39
boston,2021-04-01,5,5,47
boston,2021-05-01,4,10,30
boston,2021-06-01,-2,-6,4
boston,2021-10-01,1,1,19
boston,2021-11-01,2,2,38
boston,2021-12-01,-1,-1,37
boston,2022-01-01,6,6,46
boston,2022-02-01,3,3,27
boston,2022-03-01,6,6,38
boston,2022-04-01,3,3,25
boston,2022-05-01,-1,-3,7
boston,2022-10-01,7,7,21
boston,2022-11-01,9,9,43
boston,2022-12-01,4,4,40
boston,2023-01-01,6,6,42
boston,2023-02-01,8,8,30
boston,2023-03-01,7,7,43
boston,2023-04-01,6,4,20
boston,2023-10-01,7,7,15
boston,2023-11-01,1,1,37
boston,2023-12-01,1,1,41
boston,2024-01-01,4,4,46
boston,2024-02-01,-4,-4,26
boston,2024-03-01,2,2,42
boston,2024-04-01,2,4,28
boston,2024-05-01,-2,-6,8
boston,2024-10-01,-3,-3,11
boston,2024-11-01,0,0,14
boston,2024-12-01,4,4,14
boston,2025-01-01,-4,-4,14
boston,2025-02-01,-3,-3,7
boston,2025-03-01,-8,-8,14
boston,2025-04-01,-2,-2,8
boston-ma,2020-07-01,-2,-2,8
boston-ma,2020-08-01,-9,-9,27
boston-ma,2020-09-01,-3,-3,23
boston-ma,2021-04-01,7,7,25
boston-ma,2021-05-01,4,4,26
boston-ma,2021-06-01,8,8,28
boston-ma,2021-07-01,0,0,24
boston-ma,2021-08-01,-4,-4,26
boston-ma,2021-09-01,3,3,25
boston-ma,2021-10-01,3,3,3
boston-ma,2022-04-01,-4,-4,22
boston-ma,2022-05-01,1,1,27
boston-ma,2022-06-01,14,14,26
boston-ma,2022-07-01,-11,-11,27
boston-ma,2022-08-01,-4,-4,28
boston-ma,2022-09-01,-2,-2,26
boston-ma,2022-10-01,1,1,5
boston-ma,2023-03-01,-1,-1,1
boston-ma,2023-04-01,2,2,28
boston-ma,2023-05-01,0,0,26
boston-ma,2023-06-01,-2,-2,26
boston-ma,2023-07-01,7,7,23
boston-ma,2023-08-01,-2,-2,28
boston-ma,2023-09-01,-9,-9,25
boston-ma,2023-10-01,1,1,1
boston-ma,2024-03-01,0,0,4
boston-ma,2024-04-01,4,4,26
boston-ma,2024-05-01,-4,-4,28
boston-ma,2024-06-01,4,4,26
boston-ma,2024-07-01,2,2,24
boston-ma,2024-08-01,-2,-2,28
boston-ma,2024-09-01,-5,-5,25
brooklyn,2012-11-01,0,0,30
brooklyn,2012-12-01,0,0,32
brooklyn,2013-01-01,0,0,26
brooklyn,2013-02-01,0,0,24
brooklyn,2013-03-01,0,0,26
brooklyn,2013-04-01,0,0,18
brooklyn,2013-10-01,0,0,2
brooklyn,2013-11-01,0,0,32
brooklyn,2013-12-01,0,0,28
brooklyn,2014-01-01,0,0,22
brooklyn,2014-02-01,0,0,24
brooklyn,2014-03-01,0,0,32
brooklyn,2014-04-01,0,0,18
brooklyn,2014-10-01,0,0,2
brooklyn,2014-11-01,0,0,28
brooklyn,2014-12-01,0,0,30
brooklyn,2015-01-01,0,0,28
brooklyn,2015-02-01,0,0,22
brooklyn,2015-03-01,0,0,32
brooklyn,2015-04-01,0,0,14
brooklyn,2015-10-01,0,0,6
brooklyn,2015-11-01,0,0,24
brooklyn,2015-12-01,0,0,30
brooklyn,2016-01-01,0,0,30
brooklyn,2016-02-01,0,0,24
brooklyn,2016-03-01,0,0,30
brooklyn,2016-04-01,0,0,14
brooklyn,2016-10-01,0,0,8
brooklyn,2016-11-01,0,0,26
brooklyn,2016-12-01,0,0,30
brooklyn,2017-01-01,0,0,30
brooklyn,2017-02-01,0,0,20
brooklyn,2017-03-01,0,0,30
brooklyn,2017-04-01,0,0,12
brooklyn,2017-10-01,0,0,14
brooklyn,2017-11-01,0,0,26
brooklyn,2017-12-01,0,0,26
brooklyn,2018-01-01,0,0,30
brooklyn,2018-02-01,0,0,20
brooklyn,2018-03-01,0,0,28
brooklyn,2018-04-01,0,0,12
brooklyn,2018-10-01,0,0,16
brooklyn,2018-11-01,0,0,30
brooklyn,2018-12-01,0,0,28
brooklyn,2019-01-01,0,0,28
brooklyn,2019-02-01,0,0,20
brooklyn,2019-03-01,0,0,26
brooklyn,2019-04-01,0,0,10
brooklyn,2019-10-01,0,0,8
brooklyn,2019-11-01,0,0,30
brooklyn,2019-12-01,0,0,22
brooklyn,2020-01-01,0,0,28
brooklyn,2020-02-01,0,0,22
brooklyn,2020-03-01,0,0,10
brooklyn,2020-07-01,0,0,2
brooklyn,2020-08-01,0,0,14
brooklyn,2020-12-01,0,0,8
brooklyn,2021-01-01,0,0,30
brooklyn,2021-02-01,0,0,26
brooklyn,2021-03-01,0,0,26
brooklyn,2021-04-01,0,0,32
brooklyn,2021-05-01,0,0,16
brooklyn,2021-10-01,0,0,14
brooklyn,2021-11-01,0,0,26
brooklyn,2021-12-01,0,0,22
brooklyn,2022-01-01,0,0,32
brooklyn,2022-02-01,0,0,26
brooklyn,2022-03-01,0,0,30
brooklyn,2022-04-01,0,0,8
brooklyn,2022-10-01,0,0,14
brooklyn,2022-11-01,0,0,32
brooklyn,2022-12-01,0,0,22
brooklyn,2023-01-01,0,0,28
brooklyn,2023-02-01,0,0,20
brooklyn,2023-03-01,0,0,30
brooklyn,2023-04-01,0,0,10
brooklyn,2023-10-01,0,0,6
brooklyn,2023-11-01,0,0,28
brooklyn,2023-12-01,0,0,28
brooklyn,2024-01-01,0,0,28
brooklyn,2024-02-01,0,0,22
brooklyn,2024-03-01,0,0,30
brooklyn,2024-04-01,0,0,14
buffalo,2018-03-01,-4,-4,14
buffalo,2018-04-01,-4,-4,4
buffalo,2018-10-01,0,0,12
buffalo,2018-11-01,7,7,15
buffalo,2018-12-01,-5,-5,13
buffalo,2019-01-01,-2,-2,10
buffalo,2019-02-01,-5,-5,13
buffalo,2019-03-01,-12,-12,16
buffalo,2019-04-01,1,1,3
buffalo,2019-10-01,5,5,13
buffalo,2019-11-01,-8,-8,14
buffalo,2019-12-01,-4,-4,14
buffalo,2020-01-01,0,0,10
buffalo,2020-02-01,0,0,14
buffalo,2020-03-01,-2,-2,4
buffalo,2021-01-01,-2,-2,10
buffalo,2021-02-01,-5,-5,9
buffalo,2021-03-01,-14,-14,16
buffalo,2021-04-01,-4,-4,16
buffalo,2021-05-01,-1,-1,5
buffalo,2021-10-01,2,2,8
buffalo,2021-11-01,-8,-8,14
buffalo,2021-12-01,-6,-6,10
buffalo,2022-01-01,-4,-4,12
buffalo,2022-02-01,-6,-6,10
buffalo,2022-03-01,2,2,14
buffalo,2022-04-01,2,2,14
buffalo,2022-10-01,3,3,9
buffalo,2022-11-01,-6,-6,14
buffalo,2022-12-01,5,5,11
buffalo,2023-01-01,1,1,15
buffalo,2023-02-01,0,0,10
buffalo,2023-03-01,-5,-5,15
buffalo,2023-04-01,4,4,8
buffalo,2023-10-01,-1,-1,9
buffalo,2023-11-01,-2,-2,14
buffalo,2023-12-01,-5,-5,15
buffalo,2024-01-01,3,3,11
buffalo,2024-02-01,1,1,11
buffalo,2024-03-01,-1,-1,15
buffalo,2024-04-01,1,1,7
buffalo,2024-10-01,-2,-2,10
buffalo,2024-11-01,0,0,14
buffalo,2024-12-01,-8,-8,14
buffalo,2025-01-01,-1,-1,13
buffalo,2025-02-01,2,2,6
buffalo,2025-03-01,-2,-2,16
buffalo,2025-04-01,1,1,9
calgary,2018-03-01,-6,-6,14
calgary,2018-04-01,-1,-1,3
calgary,2018-10-01,1,1,13
calgary,2018-11-01,3,3,13
calgary,2018-12-01,4,4,14
calgary,2019-01-01,7,7,11
calgary,2019-02-01,3,3,13
calgary,2019-03-01,1,1,15
calgary,2019-04-01,-4,-10,8
calgary,2019-10-01,-1,-1,15
calgary,2019-11-01,-2,-2,14
calgary,2019-12-01,1,1,13
calgary,2020-01-01,4,4,10
calgary,2020-02-01,-2,-2,14
calgary,2020-03-01,2,2,4
calgary,2020-08-01,0,0,10
calgary,2021-01-01,-1,-1,7
calgary,2021-02-01,-1,-1,15
calgary,2021-03-01,-3,-3,15
calgary,2021-04-01,0,0,12
calgary,2021-05-01,1,1,7
calgary,2021-10-01,4,4,8
calgary,2021-11-01,0,0,14
calgary,2021-12-01,-1,-1,7
calgary,2022-01-01,-1,-1,11
calgary,2022-02-01,9,9,11
calgary,2022-03-01,2,2,16
calgary,2022-04-01,5,5,15
calgary,2022-05-01,-2,-6,12
calgary,2022-10-01,3,3,7
calgary,2022-11-01,-5,-5,15
calgary,2022-12-01,0,0,16
calgary,2023-01-01,0,0,12
calgary,2023-02-01,-5,-5,11
calgary,2023-03-01,1,1,15
calgary,2023-04-01,0,0,6
calgary,2023-10-01,-5,-5,9
calgary,2023-11-01,2,2,14
calgary,2023-12-01,-3,-3,13
calgary,2024-01-01,1,1,13
calgary,2024-02-01,4,4,10
calgary,2024-03-01,-4,-4,14
calgary,2024-04-01,-1,-1,9
calgary,2024-10-01,0,0,10
calgary,2024-11-01,-1,-1,15
calgary,2024-12-01,0,0,12
calgary,2025-01-01,1,1,13
calgary,2025-02-01,-2,-2,8
calgary,2025-03-01,-1,-1,15
calgary,2025-04-01,3,3,9
carolina,2018-03-01,0,0,16
carolina,2018-04-01,-1,-1,3
carolina,2018-10-01,0,0,12
carolina,2018-11-01,-1,-1,13
carolina,2018-12-01,-5,-5,13
carolina,2019-01-01,4,4,12
carolina,2019-02-01,7,7,13
carolina,2019-03-01,2,2,16
carolina,2019-04-01,6,12,12
carolina,2019-05-01,-2,-6,6
carolina,2019-10-01,4,4,12
carolina,2019-11-01,1,1,15
carolina,2019-12-01,3,3,13
carolina,2020-01-01,-1,-1,11
carolina,2020-02-01,-1,-1,13
carolina,2020-03-01,2,2,4
carolina,2020-08-01,0,0,8
carolina,2021-01-01,4,4,6
carolina,2021-02-01,2,2,14
carolina,2021-03-01,6,6,14
carolina,2021-04-01,4,4,16
carolina,2021-05-01,1,3,13
carolina,2021-06-01,-2,-6,4
carolina,2021-10-01,8,8,8
carolina,2021-11-01,1,1,13
carolina,2021-12-01,5,5,9
carolina,2022-01-01,6,6,12
carolina,2022-02-01,2,2,10
carolina,2022-03-01,0,0,16
carolina,2022-04-01,4,4,14
carolina,2022-05-01,0,0,14
carolina,2022-10-01,3,3,9
carolina,2022-11-01,-2,-2,14
carolina,2022-12-01,11,11,13
carolina,2023-01-01,4,4,14
carolina,2023-02-01,4,4,8
carolina,2023-03-01,0,0,16
carolina,2023-04-01,4,8,14
carolina,2023-05-01,-1,-3,9
carolina,2023-10-01,2,2,10
carolina,2023-11-01,2,2,12
carolina,2023-12-01,-1,-1,15
carolina,2024-01-01,5,5,11
carolina,2024-02-01,4,4,12
carolina,2024-03-01,7,7,15
carolina,2024-04-01,6,12,12
carolina,2024-05-01,-2,-6,6
carolina,2024-10-01,5,5,9
carolina,2024-11-01,3,3,15
carolina,2024-12-01,-1,-1,13
carolina,2025-01-01,5,5,15
carolina,2025-02-01,-3,-3,7
carolina,2025-03-01,8,8,14
carolina,2025-04-01,-2,4,14
carolina,2025-05-01,3,9,5
charlotte,2010-10-01,0,0,6
charlotte,2010-11-01,0,0,28
charlotte,2010-12-01,0,0,24
charlotte,2011-01-01,0,0,28
charlotte,2011-02-01,0,0,20
charlotte,2011-03-01,0,0,28
charlotte,2011-04-01,0,0,14
charlotte,2011-12-01,0,0,6
charlotte,2012-01-01,0,0,34
charlotte,2012-02-01,0,0,20
charlotte,2012-03-01,0,0,32
charlotte,2012-04-01,0,0,26
charlotte,2012-11-01,0,0,26
charlotte,2012-12-01,0,0,28
charlotte,2013-01-01,0,0,24
charlotte,2013-02-01,0,0,22
charlotte,2013-03-01,0,0,26
charlotte,2013-04-01,0,0,16
charlotte,2013-10-01,0,0,2
charlotte,2013-11-01,0,0,24
charlotte,2013-12-01,0,0,28
charlotte,2014-01-01,0,0,32
charlotte,2014-02-01,0,0,18
charlotte,2014-03-01,0,0,26
charlotte,2014-04-01,0,0,12
charlotte,2014-10-01,0,0,2
charlotte,2014-11-01,0,0,30
charlotte,2014-12-01,0,0,26
charlotte,2015-01-01,0,0,26
charlotte,2015-02-01,0,0,16
charlotte,2015-03-01,0,0,26
charlotte,2015-04-01,0,0,16
charlotte,2015-10-01,0,0,2
charlotte,2015-11-01,0,0,26
charlotte,2015-12-01,0,0,24
charlotte,2016-01-01,0,0,32
charlotte,2016-02-01,0,0,16
charlotte,2016-03-01,0,0,30
charlotte,2016-04-01,0,0,12
charlotte,2016-10-01,0,0,4
charlotte,2016-11-01,0,0,26
charlotte,2016-12-01,0,0,26
charlotte,2017-01-01,0,0,26
charlotte,2017-02-01,0,0,20
charlotte,2017-03-01,0,0,30
charlotte,2017-04-01,0,0,8
charlotte,2017-10-01,0,0,12
charlotte,2017-11-01,0,0,24
charlotte,2017-12-01,0,0,30
charlotte,2018-01-01,0,0,24
charlotte,2018-02-01,0,0,20
charlotte,2018-03-01,0,0,24
charlotte,2018-04-01,0,0,10
charlotte,2018-10-01,0,0,16
charlotte,2018-11-01,0,0,20
charlotte,2018-12-01,0,0,22
charlotte,2019-01-01,0,0,26
charlotte,2019-02-01,0,0,18
charlotte,2019-03-01,0,0,26
charlotte,2019-04-01,0,0,12
